Reorganized_Food,FlavorDB_Food,Similarity_Score,Source
Celeriac,Ceriman,0.25,Reorganized
Cubanelle pepper,Cherry pepper,0.25,Reorganized
Custard apple,Cashew apple,0.231,Reorganized
Rape,Raspberry,0.222,Reorganized
Malus (Crab apple),Malay apple,0.222,Reorganized
Beverages,Beaver,0.222,Reorganized
Pecan nut,Peanut oil,0.2,Reorganized
Red grape,Rose apple,0.2,Reorganized
Pomes,Peas,0.2,Reorganized
Wax apple,Wood apple,0.2,Reorganized
Processed cheese,Gruyere cheese,0.188,Reorganized
True oyster,Creosote,0.182,Reorganized
Green apple,Rose apple,0.182,Reorganized
European cranberry,Turkey berry,0.167,Reorganized
Red beetroot,Beetroot,0.167,Reorganized
Persian lime,Geranium,0.167,Reorganized
Bog bilberry,Blueberry,0.167,Reorganized
Canola,Clam,0.167,Reorganized
Other bread,Cherry brandy,0.154,Reorganized
Curry powder,Cherry pepper,0.154,Reorganized
Cracker,Arrack,0.143,Reorganized
Black chokeberry,Blueberry,0.125,Reorganized
Black elderberry,Blueberry,0.125,Reorganized
Other soy product,Bakery products,0.118,Reorganized
Brassicas,Cassia,0.111,Reorganized
Crosne,Citronella,0.1,Reorganized
Crosne,Carom seed,0.1,Reorganized
Wax apple,Rose apple,0.1,Reorganized
Olive oil,Orange oil,0.1,Reorganized
Wax apple,Malay apple,0.091,Reorganized
Crustaceans,Cetacea,0.091,Reorganized
Green apple,Cashew apple,0.083,Reorganized
Wax apple,Cashew apple,0.083,Reorganized
Rapeseed oil,Hops oil,0.083,Reorganized
Sweet cherry,Wild cherry,0.083,Reorganized
Dried milk,Skimmed milk,0.083,Reorganized
Sugar apple,Cashew apple,0.083,Reorganized
Other candy,Cherry brandy,0.077,Reorganized
Bog bilberry,Bilberry wine,0.077,Reorganized
Red tea,Fermented tea,0.077,Reorganized
Celery stalks,Clary sage,0.077,Reorganized
Celery leaves,Curry leaf,0.077,Reorganized
Yali pear,Bartlett pear,0.077,Reorganized
Custard apple,Rose apple,0.077,Reorganized
Sweet cherry,Bitter cherry,0.077,Reorganized
Sweet orange,Satsuma orange,0.071,Reorganized
Chinese chives,Sheep cheese,0.071,Reorganized
Sour orange,Satsuma orange,0.071,Reorganized
White champagne,Champagne,0.067,Reorganized
Processed cheese,Cottage cheese,0.062,FlavorDB
Sweet rowanberry,Cranberry,0.062,Reorganized
Processed cheese,Russian cheese,0.062,FlavorDB
Processed cheese,Cheddar cheese,0.062,FlavorDB
Alaska blueberry,Blueberry,0.062,Reorganized
Processed cheese,Comte cheese,0.062,FlavorDB
Processed cheese,Cream cheese,0.062,FlavorDB
Sweet rowanberry,Strawberry jam,0.062,Reorganized
Other soy product,Dairy products,0.059,Reorganized
Pepper (Capsicum),Capsicum,0.059,Reorganized
"Rubus (Blackberry, Raspberry)",Blackberry brandy,0.034,Reorganized
Curry powder,Milk powder,0.0,Reorganized
Sour orange,Bitter orange,0.0,Reorganized
Custard apple,Wood apple,0.0,Reorganized
Olive oil,Neroli oil,0.0,Reorganized
Milk and milk products,Dairy products,0.0,Reorganized
Sweet orange,Bitter orange,0.0,Reorganized
Sour orange,Mandarin orange,0.0,Reorganized
Roman camomile,Chamomile,0.0,Reorganized
Processed cheese,Sheep cheese,0.0,Reorganized
Processed cheese,Swiss cheese,0.0,Reorganized
Sweet marjoram,Marjoram,0.0,Reorganized
Common buckwheat,Buckwheat,0.0,Reorganized
Red champagne,Champagne,0.0,Reorganized
Grape wine,Strawberry wine,0.0,Reorganized
Pot marjoram,Marjoram,0.0,Reorganized
Lowbush blueberry,Blueberry,0.0,Reorganized
Baked beans,Kidney beans,0.0,Reorganized
Other bread,Wheaten bread,0.0,Reorganized
Other bread,Pear brandy,0.0,Reorganized
Orange mint,Tangerine,0.0,Reorganized
Other bread,Cluster bean,0.0,Reorganized
Lard,Chard,0.0,Reorganized
Wheat bread,Pear brandy,0.0,Reorganized
Soy sauce,Apple sauce,0.0,Reorganized
Crosne,Rose,0.0,Reorganized
